page_title,comments,url,date,pred_lang,gpt_toxic_class
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Μλκα ειναι αστείο αυτό το άρθρο ειδικά για εμάς που ξέρουμε τον Hayate από παλιές εποχές,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,Other,4
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Έκλαψα και ο χαγιατε συνεχίζει τις εκπομπές κανονικά χαχαχαχχα να στε καλά έκλαψα πρωι πρωι,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-22,Other,2
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Επόμενο live hayate: Τρελό μακελειό με δυνάμεις του Ισραήλ και τζόγος σε καζίνο της Γάζας,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,Greek,5
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,γελάμε με τον ίδιο τρόπο εντωμεταξύ γάματα,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,Greek,2
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,μου αρέσει που γελάς και γελάνε και άλλοι μαζί. Πιο πολύ μου αρέσει όταν θα κάνουν έλεγχο στους λογαριασμούς που πήγαιναν τα μπικικίνια και στο tax dat ass. Εκεί περιμένουμε να γελάσουμε.,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-19,English,2
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,"Ο Hayate έχει ιστορικό. Ανέβαζε gameplay s
στο League of Legends, του έκαναν demonetise το κανάλι επειδή έβριζε.
Το taser χρησιμοποιείται ως όπλο βασανισμού και ως μεσο ακινητοποίησης για σύλληψη απο την αστυνομία των Η.Π.Α.
Το content που αναπαράγεται σε live streaming και απο κανάλια που κάνουν upload αυτό το content μπορεί ανετα ο θεατής αυτα που βλέπει να τα αντιγράψει.",https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-26,Other,3
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Συμφωνώ στα περισσότερα αν όχι όλα σε αυτά που αναφέρεσαι στα βίντεό σου στην προκειμένη περίπτωση όμως καλά κάνουν και το κάνουν λίγο καρικατούρα το όλο ζήτημα γιατί το ζήτημα του Hayate και γενικά αυτή η πλέμπα όλη του Internet Πρέπει με κάποιον τρόπο είτε να εκλείψει είτε να μειωθεί,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,Other,2
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,"Δεν το κρίνει ο ""νομοθέτης"", ο δικαστής/δικαστήριο το κρίνει. Ο νομοθέτης (η βουλή) έχει ήδη νομοθετήσει και έχει περάσει νόμους γιαυτό.",https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,Other,3
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Να σου χαρίσω  μια μπλούζα να μου χαρίσεις 15 ευρώ ,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-22,Other,1
Το ΜΑΚΕΛΕΙΟ Προσπαθεί Να Μπλέξει Και Τον HAYATE?,Φλόριαν μετα το ξυλο που έριξες στην helenalive έρχεται η σειρά σου,https://www.youtube.com/watch?v=vSMMBjg_CKc,2023-11-18,English,4
